"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Veigar","Support",1,"0.0%","2.7%","5.9%","0%","0%",1,7,11,1.7,"41.4%","21.2%","-","-","-","-",0.8,"-",207,"8.5%","8.1%",1.62,0.46
"Vel'Koz","Middle",3,"0.1%","0.1%","0.2%","0%","67%",10,8,11,2.6,"80.8%","16.0%","0%",-195,-56,-1,7.8,"24.7%",755,"36.0%","26.7%",0.47,0.02
"Vex","Middle",111,"3.6%","3.9%","7.5%","50%","78%",390,304,624,3.3,"68.2%","20.2%","7%",-26,-114,-0.8,7.8,"22.8%",463,"25.0%","21.9%",0.59,0.29
"Vi","Jungle",546,"17.8%","25.4%","43.2%","53%","41%",1299,1654,3421,2.9,"68.4%","24.7%","16%",-18,20,0,5.5,"15.3%",254,"12.0%","17.5%",0.34,0.41
"Viego","Jungle",742,"24.2%","11.7%","36.1%","47%","56%",2381,1747,3644,3.4,"67.8%","19.2%","18%",96,113,3.2,5.8,"15.7%",276,"14.1%","18.7%",0.36,0.44
"Viego","Top",3,"0.1%","11.7%","36.1%","33%","100%",5,9,12,1.9,"56.7%","25.7%","0%",49,31,3,8,"23.9%",284,"17.8%","22.1%",0.4,0.23
"Viktor","ADC",2,"0.1%","3.7%","14.4%","0%","50%",7,3,2,3,"60.0%","9.4%","0%",-72,237,-3.5,9.2,"29.9%",593,"34.2%","28.7%",0.46,0.25
"Viktor","Middle",325,"10.6%","3.7%","14.4%","44%","57%",895,743,1535,3.3,"66.2%","17.8%","7%",-28,55,1.9,8.9,"26.7%",661,"32.6%","24.4%",0.41,0.2
"Viktor","Top",2,"0.1%","3.7%","14.4%","50%","100%",3,7,10,1.9,"56.5%","20.6%","-","-","-","-",8.4,"-",603,"32.0%","23.0%",0.48,0.09
"Vladimir","Top",15,"0.5%","0.7%","1.1%","40%","80%",38,45,70,2.4,"68.8%","21.5%","7%",-192,30,-0.5,8.2,"23.8%",489,"25.3%","23.0%",0.32,0.15
"Volibear","Jungle",157,"5.1%","3.6%","8.9%","47%","57%",315,430,975,3,"66.6%","21.0%","17%",24,17,1.5,5.1,"13.1%",248,"12.8%","16.2%",0.38,0.39
